Probe Name	Annotation	Accession	NS Probe ID	Class Name	Analyte Type	Samples above Threshold	20210527_20210527OUa_01 OU01_01.RCC	20210527_20210527OUa_02 OU02_02.RCC	20210527_20210527OUa_03 OU03_03.RCC	20210527_20210527OUa_04 OU04_04.RCC	20210527_20210527OUa_05 OU05_05.RCC	20210527_20210527OUa_06 OU06_06.RCC	20210527_20210527OUa_07 OU07_07.RCC	20210527_20210527OUa_08 OU08_08.RCC	20210527_20210527OUa_09 OU09_09.RCC	20210527_20210527OUa_10 OU10_10.RCC	20210527_20210527OUa_11 OU11_11.RCC	20210527_20210527OUa_12 OU12_12.RCC	20210528_20210528OUb_01 OU13_01.RCC	20210528_20210528OUb_02 OU14_02.RCC	20210528_20210528OUb_03 OU15_03.RCC	20210528_20210528OUb_04 OU16_04.RCC	20210528_20210528OUb_05 OU17_05.RCC	20210528_20210528OUb_06 OU18_06.RCC	20210528_20210528OUb_07 OU19_07.RCC	20210528_20210528OUb_08 OU20_08.RCC	20210528_20210528OUb_09 OU21_09.RCC	20210528_20210528OUb_10 OU22_10.RCC	20210528_20210528OUb_11 OU23_11.RCC	20210528_20210528OUb_12 OU24_12.RCC	20210602OUc_01 OU25_01.RCC	20210602OUc_02 OU26_02.RCC	20210602OUc_03 OU27_03.RCC	20210602OUc_04 OU28_04.RCC	20210602OUc_05 OU29_05.RCC	20210602OUc_06 OU30_06.RCC	20210602OUc_07 OU31_07.RCC	20210602OUc_08 OU32_08.RCC	20210602OUc_09 OU33_09.RCC	20210602OUc_10 OU34_10.RCC	20210602OUc_11 OU35_11.RCC	20210602OUc_12 OU36_12.RCC	20210602_20210602OUd_01 OU37_01.RCC	20210602_20210602OUd_02 OU38_02.RCC	20210602_20210602OUd_03 OU39_03.RCC	20210602_20210602OUd_04 OU40_04.RCC	20210602_20210602OUd_05 OU41_05.RCC	20210602_20210602OUd_06 OU42_06.RCC	20210602_20210602OUd_07 OU43_07.RCC	20210602_20210602OUd_08 OU44_08.RCC	20210602_20210602OUd_09 OU45_09.RCC	20210602_20210602OUd_10 OU46_10.RCC	20210602_20210602OUd_11 OU47_11.RCC	20210602_20210602OUd_12 OU48_12.RCC
CLEC5A		NM_013252.2		Endogenous	mRNA	93.75	13.679	33.736	12.39	1	4.863	17.028	35.711	53.522	19.262	24.167	18.301	24.748	231.498	1.131	2.121	26.763	9.785	1.209	52.596	5.295	4.024	1.207	8.664	1	20.059	21.669	4.756	2.508	30.864	20.531	1	8.227	75.001	21.229	28.883	10.696	1.02	5.887	5.417	1.181	9.52	3.454	61.597	78.857	486.404	14.773	23.208	21.77
CLEC6A		NM_001007033.1		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	5.902	1.193	1.377	1	1	1.049
CLEC7A		NM_197954.2		Endogenous	mRNA	100	63.637	20.446	83.976	13.016	28.682	50.441	117.832	67.101	35.824	66.137	59.052	144.863	414.121	46.229	22.478	42.43	89.018	168.147	119.033	35.886	79.909	58.699	95.067	30.142	100.851	134.248	171.755	45.51	91.747	103.158	23.539	31.187	172.939	24.335	76.581	111.586	191.438	107.513	204.927	43.994	76.309	51.357	216.573	245.814	467.12	57.32	38.926	80.524
CLU		NM_001831.2		Endogenous	mRNA	91.667	31.521	1.022	3.212	2.094	1	11.031	10.265	4.639	4.861	11.095	17.546	6.523	51.216	30.395	16.823	46.347	5.966	7.403	4.761	12.354	43.116	1.962	1	1	7.885	26.65	1.585	26.398	41.011	5.416	4.117	2.105	1.126	7.767	16.164	22.189	14.922	13.323	11.736	3.838	4.833	1	20.431	29.963	42.872	55.429	13.385	18.623
CMKLR1		NM_004072.1		Endogenous	mRNA	100	183.775	6.134	44.512	18.842	20.742	133.545	365.351	168.487	43.024	94.347	116.407	202.021	320.468	73.372	15.692	37.208	118.611	191.11	206.73	65.3	278.819	94.914	106.46	34.658	83.143	154.174	204.521	25.442	572.887	236.167	80.961	112.31	509.529	10.873	38.423	52.84	258.78	77.768	131.803	165.642	246.21	85.441	490.202	375.802	670.979	274.784	60.538	135.082
CR1		NM_000651.4		Endogenous	mRNA	93.75	79.101	1.022	16.061	1	2.481	61.578	191.856	16.407	2.7	22.103	7.735	55.398	112.091	23.609	1.131	24.152	67.062	77.502	129.663	24.12	62.662	29.727	14.361	5.758	84.25	21.669	10.041	1	24.099	17.508	1	18.942	246.111	45.046	33.123	32.406	193.479	26.956	64.096	193.987	116.148	7.139	146.349	149.218	352.794	31.792	16.332	8.131
CR2		NM_001006658.1		Endogenous	mRNA	62.5	1.189	1.022	1	1	1	1	1.157	1	1	1	1.698	2.382	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1.068	1	1.245	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	4.31	1.02	1.239	1	5.019	1.172	1	1.211	1.193	1.377	1	1	1.836
CRADD		NM_003805.3		Endogenous	mRNA	100	76.722	178.903	236.325	124.429	110.46	203.798	134.025	157.625	221.603	145.261	146.594	178.826	294.713	224.923	184.205	311.37	161.568	163.313	179.27	191.193	248.925	185.452	169.126	158.388	281.248	166.129	237.286	228.981	243.107	233.145	184.829	178.127	139.167	182.775	302.348	94.984	229.19	241.361	201.316	231.781	335.262	201.511	291.639	235.081	339.019	494.138	259.957	201.18
CSF1		NM_000757.4		Endogenous	mRNA	100	68.395	22.491	80.305	7.191	48.531	94.135	227.712	53.522	30.783	37.928	52.261	129.952	238.522	67.717	21.347	43.735	144.385	238.246	250.136	47.651	238.577	103.364	79.875	36.464	59.902	90.412	130.534	24.487	64.688	146.487	88.561	124.555	383.449	41.94	34.183	66.888	258.78	107.513	212.149	349.886	194.654	88.204	209.308	139.677	311.471	131.069	62.503	87.869
CSF1R		NM_005211.2		Endogenous	mRNA	97.917	27.953	3.067	17.896	1	3.275	17.885	63.47	16.407	7.021	23.479	13.773	32.203	48.875	12.299	8.906	24.152	25.059	58.164	49.053	7.648	47.715	51.456	28.603	14.789	15.633	18.68	32.237	7.286	41.011	27.584	14.25	5.166	84.007	1.036	11.924	8.141	61.857	30.674	41.527	75.882	56.39	23.721	68.861	101.516	117.253	32.738	12.402	41.705
CSF2		NM_000758.2		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
CSF2RB		NM_000395.2		Endogenous	mRNA	100	102.89	25.558	126.193	18.842	27.094	71.003	265.881	92.447	9.181	27.607	57.543	122.496	442.217	33.788	14.561	46.347	120.52	205.614	152.695	54.711	120.151	128.715	29.553	6.661	47.728	41.595	94.597	14.931	57.077	57.814	38.739	72.514	253.991	88.54	55.382	236.741	136.341	28.195	59.582	124.305	89.198	26.484	134.242	341.218	277.035	29.901	34.997	49.049
CSF3R		NM_156038.2		Endogenous	mRNA	100	33.9	26.58	50.018	2.094	31.064	23.882	78.506	106.931	8.461	26.919	46.223	66.995	474.995	16.823	1.131	22.847	76.608	35.201	131.435	42.945	31.619	36.97	33.35	3.048	122.985	47.572	23.781	2.508	51.158	28.592	15.939	23.533	68.247	100.966	76.581	174.163	30.227	26.956	23.472	52.261	17.722	10.824	111.237	213.615	294.942	22.337	16.332	40.656
CTLA4-TM		NM_005214.3		Endogenous	mRNA	70.833	1.189	1.022	1.377	3.55	1	1	3.325	1	1	1	1	51.256	9.073	1.131	1.131	1.306	1	7.403	2.104	1.177	1.15	1.207	1	1	1.107	4.732	8.984	1	2.96	6.424	1	1.531	19.841	1.036	1.06	1.277	1.02	2.169	1	1.181	1.172	1	1.211	44.273	1.377	1	2.579	1.049
CTLA4_all		NM_005214.3		Endogenous	mRNA	75	1.189	1.022	8.719	2.822	1	1	12.578	2.829	1	5.59	1	78.592	72.288	1.131	1.131	1.306	1	8.611	6.533	1.765	1.15	1.207	1	1	1.107	5.729	10.041	1	19.026	1.008	1	1.531	24.344	1.036	1.06	1.277	8.8	1.239	1	1.181	1.172	1	4.692	83.627	5.682	1	5.526	1.049
CTNNB1		NM_001098210.1		Endogenous	mRNA	100	2751.875	2434.109	5393.269	1690.765	3948.465	2959.083	3289.315	2903.211	1700.635	2120.609	2901.873	2022.795	4413.093	2504.977	1971.121	1833.625	6155.581	6693.398	3622.485	3517.368	6883.091	3514.841	2448.825	1712.691	2785.776	3188.834	3467.34	2570.156	2828.076	4258.697	4101.379	5640.941	5739.629	4243.17	2353.333	8694.926	5443.048	2935.681	3876.457	5215.804	5173.345	4630.609	3529.179	3716.13	2902.411	3122.606	2451.604	4454.546
CTSC		NM_001814.4		Endogenous	mRNA	100	1619.484	496.84	1288.089	533.672	648.765	1940.416	2146.563	1084.588	392.981	474.142	599.392	1619.375	2685.2	574.396	400.218	930.194	1177.276	1768.338	2371.695	710.062	2561.11	1192.236	541.322	224.317	760.461	951.195	1268.874	246.182	951.711	657.364	1039.41	1661.306	2991.744	539.004	911.814	834.42	2580.018	1067.999	1139.285	2005.715	1775.321	491.687	2208.253	2629.719	3760.548	377.842	530.106	938.752
CTSG		NM_001911.2		Endogenous	mRNA	64.583	1.189	1.022	1	1	1	1	1.157	1	1	1	1	10.665	20.779	1.131	1.131	1.306	59.425	19.489	1.218	1.177	35.068	4.376	1	1	1.107	1	1.057	1	1	1.008	1	2.105	20.967	1.036	1.06	1.277	15.943	1.239	10.833	8.563	17.722	1	7.113	4.919	16.701	1	1	1.049
CTSS		NM_004079.3		Endogenous	mRNA	100	2253.48	325.093	724.579	435.366	380.406	1992.677	1968.442	1082.778	382.179	621.381	518.643	2715.319	4218.764	541.598	438.671	632.532	870.845	1776.798	3044.924	457.099	3400.441	1166.885	629.623	306.503	1518.571	767.88	1858.655	160.179	1290.793	1035.232	414.518	697.01	2468.284	666.377	586.412	725.868	1912.726	694.959	812.485	1077.411	1594.874	468.657	3412.948	2955.284	3519.499	304.094	745.243	852.719
CUL9		NM_015089.2		Endogenous	mRNA	100	208.755	263.755	328.102	122.245	228.76	165.244	161.784	237.285	230.964	198.928	201.684	211.961	168.282	222.661	152.538	191.261	260.848	209.24	144.722	160.602	206.384	199.938	149.187	255.927	199.35	161.148	180.211	195.536	253.254	222.06	224.518	184.249	195.453	128.926	242.991	137.128	206.743	157.086	216.663	179.815	158.33	217.171	210.519	182.609	181.993	239.8	167.615	225.311
CX3CL1		NM_002996.3		Endogenous	mRNA	100	140.954	200.372	747.523	63.99	373.261	324.599	280.917	117.794	155.356	95.035	183.572	93.503	151.893	160.458	63.192	136.429	672.286	822.002	552.203	330.029	416.791	395.501	56.138	50.011	264.647	75.468	240.457	107.622	239.725	315.772	277.718	1165.382	159.43	439.591	372.304	259.729	444.479	285.977	627.419	584.914	718.418	252.177	326.751	342.41	239.844	199.144	46.785	291.409
CX3CR1		NM_001337.3		Endogenous	mRNA	100	1.189	1.022	75.716	2.094	13.597	22.168	22.988	41.754	19.982	97.099	49.997	55.398	27.803	13.43	22.478	29.375	31.741	218.908	13.62	11.177	40.817	277.198	200.459	64.462	7.885	190.04	23.781	81.822	46.93	85.02	47.184	14.35	450.992	2.589	14.044	29.852	105.731	288.456	275.342	39.27	90.37	56.884	65.229	52.621	165.463	10.046	186.28	92.065
CXCL1		NM_001511.1		Endogenous	mRNA	100	83.859	25.558	31.663	4.278	26.3	61.578	90.073	11.881	15.662	13.847	35.658	35.517	278.324	154.803	17.954	71.152	30.786	70.25	41.966	18.237	83.358	1.962	12.462	20.208	184.962	46.576	78.743	28.309	39.32	35.646	21.006	61.799	19.841	37.798	31.003	55.394	24.105	30.674	42.43	41.632	30.612	21.878	80.969	41.888	170.973	34.629	75.273	9.18
CXCL10		NM_001565.1		Endogenous	mRNA	95.833	601.285	8.178	81.223	131.711	5.657	119.837	233.495	18.218	28.623	101.915	30.375	214.446	161.258	20.216	43.966	1.958	3.102	505.347	238.62	4.118	44.266	30.934	16.26	25.627	12.312	49.565	132.648	1	70.607	22.546	13.406	9.758	139.167	5.696	12.984	15.804	91.447	13.323	19.861	21.554	15.379	7.139	94.287	298.286	64.911	1	27.138	6.033
CXCL11		NM_005409.4		Endogenous	mRNA	79.167	218.271	1.022	5.048	20.298	1	1	27.615	1	1	8.342	1	27.233	9.073	1.131	5.513	1.306	1.193	47.287	26.907	1.177	6.324	1.207	1.068	1	1.107	8.717	34.351	1	13.107	9.447	4.117	1.531	9.709	1.553	1.325	1.756	9.821	1.239	6.319	5.019	1.172	1	3.481	58.584	19.456	1	1	2.885
CXCL12		NM_000609.5		Endogenous	mRNA	100	563.221	34.758	1484.491	69.815	211.293	725.554	1047.763	427.385	65.347	103.291	430.347	2011.198	1896.176	1353.641	42.835	590.755	738.154	749.485	332.518	430.038	2009.221	612.792	459.667	119.553	667.496	950.199	428.595	171.646	404.615	1129.951	368.918	563.845	2601.119	285.294	308.708	670.953	1740.291	273.584	1007.482	1548.65	1243.354	253.098	2159.823	1891.531	2494.693	434.572	320.864	559.999
CXCL13		NM_006419.2		Endogenous	mRNA	70.833	1.189	1.022	1	3.55	1	1	66.94	1	1	1	1	72.794	4.39	1.131	1.131	1.306	13.603	4.985	1	27.649	15.522	14.033	12.462	1	1.107	7.721	6.87	1	1	1.008	11.717	1.531	166.185	1.036	1.06	1.277	1.02	3.408	1	1.476	2.49	1	1.211	8.497	24.966	1	5.526	6.033
CXCL2		NM_002089.3		Endogenous	mRNA	100	193.291	24.535	206.957	7.919	206.529	23.025	282.073	61.669	58.866	11.095	229.607	311.367	727.857	213.614	21.347	418.424	119.565	260.001	131.435	173.545	70.711	12.826	160.581	12.983	1185.445	466.009	315.501	174.513	198.291	156.563	36.206	141.392	304.648	204.521	142.297	396.378	415.91	41.828	479.366	390.041	321.201	629.866	819.525	1119.952	3446.495	286.13	961.363	20.721
CXCL9		NM_002416.1		Endogenous	mRNA	97.917	487.094	29.647	109.673	71.272	5.657	96.705	437.062	76.153	22.862	28.983	33.394	402.488	177.648	55.277	76.764	11.097	31.741	234.62	134.092	1.177	74.16	43.006	9.613	2.145	7.885	40.598	51.262	1.553	89.21	21.538	21.85	5.166	170.687	15.015	27.823	34.96	53.695	21.998	24.375	43.994	28.268	14.509	97.919	423.504	69.044	1	26.155	15.475
CXCR1		NM_000634.2		Endogenous	mRNA	62.5	1.189	1.022	1	1	1	1	1.157	3.734	1	1	1	6.523	9.073	1.131	2.121	1.306	1	1.209	2.99	7.648	1.15	1.207	1	1	13.419	1	1.057	1	1	1.008	1	1.531	1.126	1.553	1.06	15.804	1.02	1.239	1	3.838	1.172	1	1.211	3.727	1.377	1	1	3.934
CXCR2		NM_001557.2		Endogenous	mRNA	97.917	13.679	27.602	56.443	1	17.566	5.033	6.795	97.879	15.662	11.095	49.997	65.338	170.624	19.085	2.121	12.403	30.786	30.366	119.919	64.123	5.174	10.412	16.26	6.661	129.626	22.665	17.44	1.553	17.335	14.485	17.628	41.901	28.847	100.966	64.921	167.778	29.207	9.605	7.222	45.175	22.409	7.139	39.803	99.131	66.289	25.174	32.05	28.066
CXCR3		NM_001504.1		Endogenous	mRNA	81.25	36.279	1.022	4.13	1	1.687	3.32	12.578	5.545	1	1	1	30.546	32.486	1.131	2.121	1.306	1	13.446	8.305	1.177	14.372	3.169	1	1	4.565	8.717	12.155	1	18.18	3.401	2.428	3.635	61.493	1.036	1.325	4.31	22.065	15.802	7.222	9.744	7.177	3.454	21.642	47.851	12.569	1	3.561	12.328
CXCR4		NM_003467.2		Endogenous	mRNA	100	597.716	406.878	809.013	499.447	943.324	519.936	1604.103	412.902	137.354	534.689	375.257	1360.093	4548.889	290.52	426.23	607.727	564.415	2674.791	988.917	155.896	720.33	547.605	930.608	96.975	503.7	732.015	581.854	178.335	1062.484	287.557	139.228	3661.838	1855.892	948.047	433.781	930.202	994.434	1138.642	594.017	762.071	614.134	298.236	1200.911	2353.047	1097.982	115.941	480.988	225.311
CXCR6		NM_006564.1		Endogenous	mRNA	66.667	26.763	1.022	1	1	1	2.463	5.639	1.018	1	1	1	49.599	48.875	1.131	1.131	1.306	1	1.209	9.19	1.177	16.672	1.207	1	1	1.245	1	22.725	1	2.96	1.008	1	1.531	52.487	1.036	1.325	1.277	14.922	4.648	1	1.181	2.49	1	18.01	101.516	4.304	1	1	1.049
CYBB		NM_000397.3		Endogenous	mRNA	100	507.316	115.521	302.405	64.718	115.224	688.714	852.293	236.38	207.201	302.821	161.687	613.724	779.366	264.508	144.621	187.344	278.031	587.532	796.692	130.011	853.703	572.955	329.588	176.451	261.326	409.221	680.15	82.777	511.159	333.909	216.073	191.903	1099.407	115.464	227.092	257.175	821.999	376.449	567.837	707.743	691.469	259.546	848.583	1492.027	2016.726	240.746	324.793	313.442
DEFB1		NM_005218.3		Endogenous	mRNA	81.25	1.189	1.022	1.377	1	1	1	1.157	1.018	1	1	1	3.21	27.803	7.775	1.131	1.306	1	1.209	8.305	5.295	4.024	1.207	1.068	2.145	11.206	9.714	8.984	2.508	53.695	1.008	1	1.531	11.961	10.873	7.685	3.033	8.8	9.605	9.028	13.287	15.379	1	11.956	6.112	24.966	9.1	12.402	16.525
DEFB103A		NM_001081551.2		Endogenous	mRNA	60.417	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	5.583	1	1	10.099	1	5.813	1	1.268	1.008	1	1.531	2.955	1.036	1.06	1.277	1.02	2.169	1.806	1.181	1.318	1	1.211	1.193	8.437	1	1	7.082
DEFB103B		NM_018661.3		Endogenous	mRNA	83.333	7.732	3.067	1	1	1	1.606	10.265	1.924	5.581	1.462	1	1	23.121	3.252	1.131	1.306	1	4.985	84.486	1.765	9.773	1.962	10.563	3.048	7.885	5.729	7.927	3.464	3.805	3.401	1	3.635	9.709	12.944	10.864	18.358	12.882	12.084	2.708	8.563	11.864	1	8.324	9.689	33.23	10.991	9.455	4.984
DEFB4A		NM_004942.2		Endogenous	mRNA	87.5	2.974	1.022	2.294	1	1	2.463	4.482	2.829	1	1	1	2.382	16.097	8.906	1.131	1.306	5.966	7.403	10.076	6.471	13.222	1.207	4.866	4.854	17.846	3.736	6.87	9.197	5.496	4.408	7.494	11.288	14.212	4.66	5.565	10.696	7.78	12.084	1	7.382	9.52	2.533	14.378	12.075	8.437	7.209	10.438	12.328
DPP4		NM_001935.3		Endogenous	mRNA	87.5	5.353	4.089	16.061	2.822	1	4.177	63.47	8.26	1	11.783	2.453	19.778	55.899	1.131	1.131	42.43	24.104	36.409	20.706	11.177	29.319	4.376	7.715	1	14.526	13.699	5.813	1	12.261	19.523	12.561	26.595	71.624	12.944	1.06	37.515	52.674	8.366	12.639	22.735	72.794	18.194	34.96	20.422	56.647	1	1	6.033
DUSP4		NM_057158.2		Endogenous	mRNA	100	439.515	1080.577	254.681	288.272	455.833	120.694	158.314	420.143	561.478	1791.729	534.491	233.499	404.755	1252.984	634.327	1722.655	655.103	488.427	60.569	140.601	159.243	486.039	397.001	193.611	1532.958	986.065	1293.184	330.273	1957.118	1470.536	212.695	418.436	226.974	255.263	476.178	327.415	117.975	314.482	229.301	317.997	248.554	164.663	646.388	1371.58	658.582	3040.348	293.357	341.77
EBI3		NM_005755.2		Endogenous	mRNA	81.25	1.189	1.022	14.225	1	4.069	10.174	39.181	8.26	1	6.966	6.981	28.89	13.755	1.131	4.382	1.306	7.876	26.74	18.049	1.177	7.473	1.207	2.018	1	1.107	1	1.057	1	6.342	1.008	1	1.531	23.218	1.036	1.06	1.277	3.699	1.239	1	13.287	1.172	1	2.27	2.534	1.377	2.482	1	1.049
EDNRB		NM_003991.2		Endogenous	mRNA	100	264.661	82.807	1981.922	559.159	1526.091	1027.128	567.761	429.196	171.198	212.001	296.017	593.015	278.324	301.83	62.061	562.033	3030.179	2118.833	869.33	1238.344	2035.666	2831.58	282.114	214.383	356.505	407.228	175.983	157.313	209.284	306.703	805.498	2409.784	829.234	2135.823	846.098	2941.623	1018.922	1170.864	2034.824	4112.705	3077.115	1570.404	398.185	609.541	549.766	862.88	79.203	1422.423
EGR1		NM_001964.2		Endogenous	mRNA	100	1511.241	1847.306	1992.017	62.533	389.14	335.736	1110.221	599.381	624.124	842.929	1568.381	2437.812	940.917	3625.778	298.432	2740.973	399.267	2436.696	430.845	852.428	814.611	233.739	1028.404	481.712	3983.257	1854.819	2850.078	2745.027	2066.199	1008.026	251.54	251.597	1066.761	1834.478	471.939	4606.952	764.861	935.39	2489.815	1444.717	337.605	1722.401	2236.1	3407.26	2804.614	3563.205	650.937	19.672
EGR2		NM_000399.3		Endogenous	mRNA	100	68.395	558.179	292.309	2.094	89.023	49.584	161.784	40.849	29.343	70.266	136.783	215.275	126.139	188.732	13.43	341.398	54.652	726.522	44.624	85.302	120.151	22.484	57.087	15.692	233.658	144.211	215.09	160.179	26.636	65.875	26.072	25.064	215.716	434.414	35.243	538.135	88.386	184.351	561.518	87.693	25.925	162.821	157.246	267.28	213.673	166.998	83.132	1.049
ENTPD1		NM_001098175.1		Endogenous	mRNA	97.917	18.437	1.022	117.016	13.016	58.852	103.559	147.904	27.27	12.781	48.248	40.941	30.546	297.055	21.347	6.644	17.625	96.655	128.263	39.309	41.768	131.649	58.699	21.007	1	26.7	45.58	40.693	3.464	92.592	67.89	45.495	69.452	115.527	10.873	73.401	149.899	149.605	50.503	80.346	153.832	159.502	16.351	51.911	84.82	114.499	35.574	14.367	28.066
EOMES		NM_005442.2		Endogenous	mRNA	58.333	4.163	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.585	1	2.96	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	4.692	1.342	1.377	1	1	1.049
ETS1		NM_005238.3		Endogenous	mRNA	100	801.118	160.502	3197.048	302.836	956.822	1399.811	2099.141	914.403	248.246	528.497	674.104	848.984	3057.469	613.98	249.801	453.674	2617.786	3391.493	1071.299	1197.164	4538.713	1978.107	309.649	185.482	945.285	1021.931	568.113	337.917	706.49	1108.79	1100.21	2109.78	2267.906	3372.271	606.551	4499.676	2541.246	1041.973	2054.685	3434.784	3931.309	1410.117	1361.94	1649.444	1164.098	1351.699	305.146	1460.193
FADD		NM_003824.2		Endogenous	mRNA	100	8.921	5.112	19.732	21.755	27.888	9.317	33.398	23.649	24.303	27.607	29.621	19.778	30.144	11.168	13.43	21.541	13.603	27.949	31.336	24.12	18.971	14.033	15.31	30.142	1.107	13.699	12.155	11.109	30.018	21.538	22.695	18.942	28.847	16.051	19.344	34.96	28.186	15.802	11.736	13.287	13.036	11.745	24.064	39.503	8.437	17.61	20.261	16.525
FAS		NM_000043.3		Endogenous	mRNA	100	16.058	31.691	61.032	7.919	45.355	42.73	58.844	29.986	21.422	17.287	28.111	24.748	95.701	17.954	3.252	34.597	41.287	56.955	26.021	27.649	36.218	29.727	29.553	6.661	2.352	51.557	36.465	5.375	19.026	26.577	26.072	43.432	38.978	8.802	12.984	36.238	30.227	19.52	36.11	40.451	29.44	17.272	22.853	26.385	52.514	29.901	19.279	14.426
FCAR		NM_133280.1		Endogenous	mRNA	56.25	1.189	1.022	1	1	1	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
FCER1A		NM_002001.2		Endogenous	mRNA	89.583	1.189	1.022	20.65	1	1	1	1.157	9.166	6.301	2.838	22.829	43.8	46.534	31.526	4.382	124.679	39.378	33.992	15.391	1.765	46.566	11.619	55.188	1.242	4.565	54.546	15.326	16.842	25.79	26.577	1	14.35	242.734	3.624	1.06	29.852	50.634	1.239	36.11	32.184	10.692	1	71.283	45.466	60.779	3.427	32.05	178.098
FCER1G		NM_004106.1		Endogenous	mRNA	100	350.303	64.405	142.713	49.426	92.993	230.357	552.725	130.467	56.706	121.18	74.9	279.888	884.726	84.682	58.669	84.207	136.748	360.315	506.14	82.948	345.506	302.548	134.945	54.527	181.642	107.349	223.546	18.753	174.614	103.158	83.495	135.269	519.661	137.21	183.635	140.959	296.532	133.539	165.205	277.842	320.029	90.047	327.961	670.361	884.48	113.104	102.779	100.459
FCGR1A/B		NM_000566.3		Endogenous	mRNA	83.333	8.921	1.022	5.965	1	1	18.741	9.108	10.071	1	1	1	17.292	13.755	1.131	1.131	1.306	6.921	13.446	18.935	1.177	32.768	5.583	1	1	7.885	6.725	3.699	1	12.261	4.408	17.628	12.819	115.527	1.036	14.044	1.277	44.512	25.716	58.679	22.735	25.925	2.533	24.064	50.236	35.985	38.411	18.296	14.426
FCGR2A		NM_021642.3		Endogenous	mRNA	100	579.874	204.461	351.047	47.241	262.106	472.815	956.389	517.004	121.513	238.146	235.644	606.269	1898.517	198.911	203.431	332.259	410.722	739.817	1413.229	266.494	969.83	686.43	268.821	110.522	263.54	308.597	492.012	56.021	502.703	386.307	153.584	401.599	1031.864	201.415	284.329	244.404	704.662	324.397	665.335	479.801	787.551	226.383	663.339	1016.2	1793.582	264.383	175.474	434.097
FCGR2A/C		NM_201563.4		Endogenous	mRNA	100	818.961	262.732	507.985	74.184	411.371	734.978	1147.234	752.366	294.33	449.373	368.465	791.826	1781.451	344.807	288.253	445.841	604.508	952.531	1894.233	364.15	1426.288	842.155	479.606	180.967	553.503	567.629	882.029	99.022	988.072	704.724	260.829	612.825	2048.39	253.192	380.784	447.461	1288.287	532.605	1206.992	847.107	1301.941	474.184	1274.766	1660.177	2901.034	467.664	267.816	792.916
FCGR2B		NM_001002273.1		Endogenous	mRNA	93.75	20.816	23.513	54.607	1	5.657	28.165	433.592	80.679	23.582	42.744	30.375	120.84	231.498	49.622	38.311	56.791	18.376	38.826	214.703	28.826	41.967	1.207	68.481	27.433	68.756	35.617	21.668	1	26.636	69.906	1	15.88	303.523	1.553	11.924	1.277	89.406	10.844	24.375	7.382	21.238	4.376	122.134	84.82	275.658	41.247	51.697	124.59
FCGR3A/B		NM_000570.4		Endogenous	mRNA	100	1499.346	178.903	483.205	162.295	254.167	1464.067	1528.922	560.455	297.211	469.326	354.881	1110.751	2460.433	145.755	409.266	419.73	718.107	2081.366	1555.847	146.483	2350.703	1432.464	501.444	155.679	491.526	566.633	1270.988	113.356	2439.104	455.835	246.473	274.557	3732.469	314.29	718.905	576.448	2798.367	2232.977	1420.043	1345.509	1078.14	228.226	1217.861	3156.825	3593.88	240.746	478.041	439.343
FCGRT		NM_004107.4		Endogenous	mRNA	100	1902.582	315.892	1062.318	179.044	844.873	1108.518	1626.079	988.633	192.8	395.706	949.557	1176.193	2245.032	711.245	836.769	747.419	1904.691	1485.525	1995.218	786.54	2111.551	1234.487	709.38	813.164	1249.636	867.508	1667.346	1308.788	1003.292	1572.308	1574.79	1630.693	1611.61	1437.862	1072.925	1719.446	1940.275	1330.739	1576.221	2250.192	2293.227	1287.598	2440.717	2131.233	3581.483	668.108	514.389	829.637
